name,description,max_attempts,value,type_data,category,type,state,requirements,connection_info,flags,tags,hints
Search the ls man page for the various sort para,"Search the ls man page for the various sort parameter flags and find the 'sort by modification time, newest first'",0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab02_q11_search_the_ls_man_page_for_the_various_sort_parameter}""}}","[{""type"": ""static"", ""content"": ""flag{lab02_q11_search_the_ls_man_page_for_the_various_sort_parameter}""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `search`."", ""cost"": 25}]"
Run the last command with the new option found i,Run the last command with the new option found in the Manual page for ls,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab02_q12_run_the_last_command_with_the_new_option_found_in_the}""}}","[{""type"": ""static"", ""content"": ""flag{lab02_q12_run_the_last_command_with_the_new_option_found_in_the}""}]","linux,lab02,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `run`."", ""cost"": 25}]"
Use Tab + Tab to retrieve a list of everything t,Use Tab + Tab to retrieve a list of everything that matches what you have typed,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab03_q01_use_tab_tab_to_retrieve_a_list_of_everything_that_matc}""}}","[{""type"": ""static"", ""content"": ""flag{lab03_q01_use_tab_tab_to_retrieve_a_list_of_everything_that_matc}""}]","linux,lab03,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Complete Lab 03: Tab Completion question 2,Complete Lab 03: Tab Completion question 2,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab03_q02_complete_lab_03_tab_completion_question_2}""}}","[{""type"": ""static"", ""content"": ""flag{lab03_q02_complete_lab_03_tab_completion_question_2}""}]","linux,lab03,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `complete`."", ""cost"": 25}]"
Use Tab to complete a command where there is onl,Use Tab to complete a command where there is only one match,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab03_q03_use_tab_to_complete_a_command_where_there_is_only_one}""}}","[{""type"": ""static"", ""content"": ""flag{lab03_q03_use_tab_to_complete_a_command_where_there_is_only_one}""}]","linux,lab03,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use find to look for files named resolv.conf,Use find to look for files named resolv.conf,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q01_use_find_to_look_for_files_named_resolv_conf}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q01_use_find_to_look_for_files_named_resolv_conf}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Find a potential backdoor,Find a potential backdoor,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q02_find_a_potential_backdoor}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q02_find_a_potential_backdoor}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `find`."", ""cost"": 25}]"
Use locate to look for a file named resolv.conf,Use locate to look for a file named resolv.conf .,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q03_use_locate_to_look_for_a_file_named_resolv_conf}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q03_use_locate_to_look_for_a_file_named_resolv_conf}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use which to determine the location of the init,Use which to determine the location of the init executable.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q04_use_which_to_determine_the_location_of_the_init_execut}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q04_use_which_to_determine_the_location_of_the_init_execut}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use whereis to find files related to the init ex,Use whereis to find files related to the init executable.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q05_use_whereis_to_find_files_related_to_the_init_executab}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q05_use_whereis_to_find_files_related_to_the_init_executab}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use hash to see what $PATH commands the shell al,Use hash to see what $PATH commands the shell already knows.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q06_use_hash_to_see_what_path_commands_the_shell_already_k}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q06_use_hash_to_see_what_path_commands_the_shell_already_k}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use type on the tail command.,Use type on the tail command.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q07_use_type_on_the_tail_command}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q07_use_type_on_the_tail_command}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use tail on /var/log/syslog .,Use tail on /var/log/syslog .,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q08_use_tail_on_var_log_syslog}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q08_use_tail_on_var_log_syslog}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use type on tail .,Use type on tail .,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q09_use_type_on_tail}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q09_use_type_on_tail}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use type on cat with the -a option.,Use type on cat with the -a option.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q10_use_type_on_cat_with_the_a_option}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q10_use_type_on_cat_with_the_a_option}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Use type on ip with the -a option.,Use type on ip with the -a option.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab04_q11_use_type_on_ip_with_the_a_option}""}}","[{""type"": ""static"", ""content"": ""flag{lab04_q11_use_type_on_ip_with_the_a_option}""}]","linux,lab04,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `use`."", ""cost"": 25}]"
Determine your current working directory,Determine your current working directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q01_determine_your_current_working_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q01_determine_your_current_working_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `determine`."", ""cost"": 25}]"
Change directory into /etc,Change directory into /etc,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q02_change_directory_into_etc}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q02_change_directory_into_etc}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `change`."", ""cost"": 25}]"
Display the contents of /etc,Display the contents of /etc,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q03_display_the_contents_of_etc}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q03_display_the_contents_of_etc}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `display`."", ""cost"": 25}]"
Display the contents of /etc as a list,Display the contents of /etc as a list,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q04_display_the_contents_of_etc_as_a_list}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q04_display_the_contents_of_etc_as_a_list}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `display`."", ""cost"": 25}]"
Change directory into ssh,Change directory into ssh,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q05_change_directory_into_ssh}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q05_change_directory_into_ssh}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `change`."", ""cost"": 25}]"
Change directory into a parent directory,Change directory into a parent directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q06_change_directory_into_a_parent_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q06_change_directory_into_a_parent_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `change`."", ""cost"": 25}]"
Change into your home directory,Change into your home directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q07_change_into_your_home_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q07_change_into_your_home_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `change`."", ""cost"": 25}]"
Show files in your home directory,Show files in your home directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q08_show_files_in_your_home_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q08_show_files_in_your_home_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `show`."", ""cost"": 25}]"
Display the hidden files in a directory,Display the hidden files in a directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q09_display_the_hidden_files_in_a_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q09_display_the_hidden_files_in_a_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `display`."", ""cost"": 25}]"
Display directory listing using an absolute dire,Display directory listing using an absolute directory path.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab05_q10_display_directory_listing_using_an_absolute_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab05_q10_display_directory_listing_using_an_absolute_directory}""}]","linux,lab05,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `display`."", ""cost"": 25}]"
Create a directory,Create a directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q01_create_a_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q01_create_a_directory}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `create`."", ""cost"": 25}]"
Create multiple directories in a path,Create multiple directories in a path,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q02_create_multiple_directories_in_a_path}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q02_create_multiple_directories_in_a_path}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `create`."", ""cost"": 25}]"
Recurively list the contents of a directory,Recurively list the contents of a directory,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q03_recurively_list_the_contents_of_a_directory}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q03_recurively_list_the_contents_of_a_directory}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `recurively`."", ""cost"": 25}]"
Create a new file and input contents with cat re,Create a new file and input contents with cat redirection,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q04_create_a_new_file_and_input_contents_with_cat_redirect}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q04_create_a_new_file_and_input_contents_with_cat_redirect}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `create`."", ""cost"": 25}]"
Verify new file,Verify new file,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q05_verify_new_file}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q05_verify_new_file}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `verify`."", ""cost"": 25}]"
Create a file using touch,Create a file using touch,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q06_create_a_file_using_touch}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q06_create_a_file_using_touch}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `create`."", ""cost"": 25}]"
Verify new file creation,Verify new file creation,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q07_verify_new_file_creation}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q07_verify_new_file_creation}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `verify`."", ""cost"": 25}]"
View the contents of a file using more,View the contents of a file using more,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q08_view_the_contents_of_a_file_using_more}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q08_view_the_contents_of_a_file_using_more}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `view`."", ""cost"": 25}]"
View the most recent events from the syslog file,View the most recent events from the syslog file first.,0,100,,Linux / Beginner,standard,visible,,"{""schema"":""ctfd-access-v1"",""type"":""terminal"",""provision"":{""enabled"":true,""image"":""ctfd-linux-lab-base:latest"",""startup_command"":""while true; do sleep 3600; done"",""flag"":""flag{lab06_q09_view_the_most_recent_events_from_the_syslog_file_first}""}}","[{""type"": ""static"", ""content"": ""flag{lab06_q09_view_the_most_recent_events_from_the_syslog_file_first}""}]","linux,lab06,beginner","[{""content"": ""Focus on the Linux utility implied by the task wording."", ""cost"": 10}, {""content"": ""Start by checking manual/help for `view`."", ""cost"": 25}]"
